Customer_ID,Gender,Age,Income_Bracket,Employment_Type,Marital_Status,City,Education_Level,Preferred_Travel_Mode,Preferred_Travel_Season,Travel_Purpose,Booking_Method,Has_Traveled_Abroad,Frequent_Traveler,Has_Children,Credit_Card_Holder,Internet_Usage,Social_Media_Usage,Travel_Insurance_Awareness,Purchased_Travel_Plan
1,Male,60,3-6 LPA,Salaried,Married,Pune,Graduate,Bus,Monsoon,Leisure,Online,Yes,No,Yes,No,High,Medium,Aware,0
2,Female,27,3-6 LPA,Student,Married,Delhi,Graduate,Bus,Summer,Leisure,Online,No,No,No,Yes,Low,Medium,Not Aware,0
3,Male,52,6-10 LPA,Self-Employed,Divorced,Hyderabad,High School,Bus,Winter,Leisure,Online,No,No,Yes,Yes,High,Low,Not Aware,0
4,Male,39,6-10 LPA,Salaried,Divorced,Ahmedabad,High School,Flight,Winter,Leisure,Online,No,No,Yes,No,Low,Medium,Aware,0
5,Male,26,3-6 LPA,Salaried,Married,Pune,High School,Flight,Winter,Family Visit,Online,No,No,Yes,Yes,Medium,High,Not Aware,1
6,Female,40,6-10 LPA,Self-Employed,Married,Kolkata,Graduate,Own Vehicle,Summer,Family Visit,Online,No,Yes,Yes,Yes,High,Low,Aware,1
7,Male,47,>15 LPA,Student,Married,Kolkata,High School,Flight,Winter,Family Visit,Online,No,No,Yes,No,Low,High,Not Aware,0
8,Male,57,10-15 LPA,Salaried,Single,Kolkata,Graduate,Flight,Winter,Business,Online,No,Yes,Yes,No,Medium,Medium,Aware,1
9,Male,27,3-6 LPA,Self-Employed,Single,Pune,Graduate,Train,Winter,Business,Online,No,No,Yes,No,High,Medium,Not Aware,0
10,Female,25,>15 LPA,Student,Married,Delhi,Doctorate,Own Vehicle,Summer,Family Visit,Online,No,No,Yes,No,Medium,Low,Aware,1
11,Male,31,6-10 LPA,Unemployed,Married,Delhi,Graduate,Flight,Summer,Leisure,Online,No,No,No,Yes,High,Medium,Aware,1
12,Male,35,<3 LPA,Student,Single,Pune,Graduate,Own Vehicle,Winter,Leisure,Offline Agent,No,No,Yes,No,Medium,Medium,Aware,0
13,Male,23,<3 LPA,Salaried,Divorced,Delhi,Doctorate,Bus,Monsoon,Leisure,Offline Agent,No,Yes,No,No,Medium,Medium,Aware,1
14,Male,25,<3 LPA,Student,Married,Bangalore,Post-Graduate,Flight,Summer,Business,Offline Agent,No,No,No,Yes,High,High,Not Aware,1
15,Female,43,6-10 LPA,Student,Married,Pune,Graduate,Train,Summer,Business,Direct Booking,No,No,Yes,No,High,Medium,Aware,0
16,Male,57,<3 LPA,Student,Married,Hyderabad,Graduate,Train,Monsoon,Leisure,Online,Yes,No,Yes,Yes,Medium,Low,Not Aware,0
17,Female,29,6-10 LPA,Student,Single,Ahmedabad,Graduate,Bus,Summer,Family Visit,Online,No,Yes,No,No,Medium,High,Not Aware,1
18,Female,35,<3 LPA,Unemployed,Married,Chennai,High School,Train,Monsoon,Family Visit,Offline Agent,No,No,No,No,Medium,Medium,Aware,0
19,Female,23,>15 LPA,Salaried,Single,Ahmedabad,Graduate,Train,Monsoon,Leisure,Online,No,Yes,Yes,No,Medium,Low,Aware,1
20,Male,49,3-6 LPA,Salaried,Married,Chennai,Graduate,Bus,Monsoon,Business,Offline Agent,No,No,Yes,No,Low,Low,Not Aware,0
21,Female,26,>15 LPA,Student,Married,Bangalore,Post-Graduate,Flight,Monsoon,Family Visit,Online,No,Yes,No,No,Medium,High,Not Aware,1
22,Male,37,>15 LPA,Salaried,Married,Delhi,Graduate,Train,Monsoon,Leisure,Direct Booking,No,No,Yes,No,Medium,High,Not Aware,0
23,Female,46,<3 LPA,Salaried,Married,Ahmedabad,Post-Graduate,Train,Summer,Leisure,Online,No,No,Yes,Yes,Low,High,Aware,0
24,Female,41,3-6 LPA,Salaried,Single,Chennai,Graduate,Flight,Winter,Leisure,Online,Yes,No,No,No,High,Low,Aware,0
25,Female,28,<3 LPA,Student,Single,Hyderabad,Graduate,Bus,Monsoon,Family Visit,Online,Yes,No,Yes,Yes,Medium,Low,Aware,0
26,Female,41,>15 LPA,Salaried,Married,Pune,Graduate,Train,Summer,Family Visit,Online,No,No,No,No,Medium,High,Not Aware,0
27,Female,31,6-10 LPA,Self-Employed,Married,Mumbai,Graduate,Train,Winter,Leisure,Offline Agent,No,No,Yes,No,Medium,High,Not Aware,0
28,Female,58,<3 LPA,Salaried,Married,Pune,High School,Bus,Winter,Leisure,Online,No,No,Yes,No,Medium,Medium,Aware,0
29,Female,28,<3 LPA,Salaried,Single,Hyderabad,Graduate,Train,Summer,Leisure,Online,No,Yes,Yes,Yes,Medium,High,Aware,1
30,Female,44,3-6 LPA,Salaried,Single,Delhi,Graduate,Flight,Winter,Leisure,Offline Agent,No,No,No,Yes,Medium,High,Not Aware,1
31,Male,55,>15 LPA,Salaried,Married,Hyderabad,Graduate,Train,Winter,Business,Online,Yes,Yes,Yes,Yes,High,High,Not Aware,1
32,Male,34,6-10 LPA,Student,Married,Ahmedabad,High School,Train,Monsoon,Leisure,Direct Booking,No,No,No,No,Medium,High,Aware,0
33,Female,34,10-15 LPA,Student,Single,Kolkata,Graduate,Train,Monsoon,Leisure,Direct Booking,No,Yes,Yes,Yes,Medium,Medium,Aware,1
34,Female,30,3-6 LPA,Student,Married,Delhi,High School,Flight,Summer,Leisure,Online,No,No,No,No,High,Medium,Aware,0
35,Female,32,<3 LPA,Salaried,Single,Hyderabad,Graduate,Flight,Monsoon,Leisure,Direct Booking,No,Yes,No,No,Medium,Medium,Aware,1
36,Male,58,>15 LPA,Self-Employed,Married,Bangalore,Graduate,Own Vehicle,Winter,Family Visit,Online,No,Yes,No,Yes,Medium,Medium,Aware,1
37,Female,54,<3 LPA,Salaried,Single,Pune,Graduate,Train,Winter,Leisure,Online,No,No,Yes,Yes,Medium,Medium,Not Aware,0
38,Male,30,>15 LPA,Salaried,Divorced,Hyderabad,Graduate,Flight,Monsoon,Leisure,Online,No,No,Yes,No,High,High,Not Aware,0
39,Male,37,3-6 LPA,Self-Employed,Single,Ahmedabad,Graduate,Train,Summer,Pilgrimage,Direct Booking,No,No,Yes,No,High,Medium,Aware,0
40,Male,37,<3 LPA,Student,Married,Ahmedabad,Post-Graduate,Bus,Summer,Leisure,Online,No,Yes,Yes,No,Medium,Medium,Aware,1
41,Male,23,6-10 LPA,Salaried,Divorced,Ahmedabad,Graduate,Bus,Monsoon,Leisure,Direct Booking,No,No,Yes,No,Medium,High,Aware,0
42,Male,51,>15 LPA,Salaried,Single,Pune,Graduate,Train,Summer,Leisure,Online,No,Yes,Yes,Yes,High,Medium,Aware,1
43,Female,21,>15 LPA,Unemployed,Married,Kolkata,Graduate,Bus,Summer,Leisure,Online,No,Yes,No,Yes,Medium,Medium,Not Aware,1
44,Female,32,<3 LPA,Salaried,Single,Ahmedabad,Doctorate,Flight,Winter,Business,Online,No,No,Yes,No,High,Low,Not Aware,0
45,Female,59,<3 LPA,Unemployed,Single,Chennai,Graduate,Train,Monsoon,Leisure,Online,No,No,No,No,Medium,High,Aware,0
46,Female,24,6-10 LPA,Unemployed,Married,Mumbai,Graduate,Train,Monsoon,Leisure,Offline Agent,Yes,Yes,Yes,No,High,High,Aware,1
47,Female,33,6-10 LPA,Self-Employed,Divorced,Bangalore,Post-Graduate,Train,Winter,Pilgrimage,Online,Yes,No,Yes,No,Low,Medium,Aware,0
48,Male,54,6-10 LPA,Salaried,Married,Ahmedabad,Graduate,Own Vehicle,Winter,Leisure,Offline Agent,Yes,Yes,Yes,Yes,Medium,Low,Aware,1
49,Female,41,<3 LPA,Student,Married,Hyderabad,Graduate,Own Vehicle,Monsoon,Business,Online,No,Yes,Yes,Yes,Medium,Low,Not Aware,1
50,Female,42,>15 LPA,Salaried,Married,Ahmedabad,Graduate,Own Vehicle,Monsoon,Family Visit,Online,No,No,No,No,High,High,Not Aware,0
51,Male,24,6-10 LPA,Salaried,Married,Ahmedabad,High School,Train,Winter,Pilgrimage,Online,No,No,Yes,No,High,Medium,Not Aware,0
52,Female,38,10-15 LPA,Student,Married,Delhi,Graduate,Train,Summer,Leisure,Online,No,No,Yes,No,High,High,Not Aware,0
53,Male,25,6-10 LPA,Salaried,Single,Ahmedabad,Graduate,Own Vehicle,Winter,Pilgrimage,Direct Booking,Yes,No,No,Yes,High,Medium,Not Aware,0
54,Female,39,3-6 LPA,Salaried,Single,Bangalore,Graduate,Bus,Summer,Family Visit,Online,No,Yes,No,Yes,High,High,Aware,1
55,Male,22,>15 LPA,Self-Employed,Married,Chennai,High School,Flight,Monsoon,Business,Online,No,No,Yes,No,Low,Medium,Not Aware,0
56,Female,32,6-10 LPA,Student,Married,Mumbai,Post-Graduate,Bus,Monsoon,Business,Offline Agent,No,No,Yes,No,Medium,High,Not Aware,0
57,Female,37,10-15 LPA,Salaried,Single,Kolkata,Doctorate,Own Vehicle,Monsoon,Leisure,Online,No,No,Yes,Yes,Low,Medium,Not Aware,0
58,Male,30,>15 LPA,Salaried,Married,Mumbai,Graduate,Flight,Monsoon,Leisure,Direct Booking,No,No,Yes,Yes,Medium,Low,Aware,1
59,Male,54,6-10 LPA,Salaried,Single,Hyderabad,High School,Own Vehicle,Monsoon,Business,Offline Agent,No,No,No,Yes,High,Medium,Not Aware,0
60,Male,26,6-10 LPA,Salaried,Single,Kolkata,Post-Graduate,Flight,Winter,Leisure,Online,Yes,No,Yes,No,High,Medium,Aware,0
61,Male,28,<3 LPA,Student,Married,Chennai,Graduate,Flight,Monsoon,Family Visit,Online,No,No,Yes,No,Medium,High,Not Aware,0
62,Male,31,<3 LPA,Student,Married,Chennai,Post-Graduate,Flight,Monsoon,Leisure,Online,No,Yes,No,No,Low,Medium,Aware,1
63,Male,32,3-6 LPA,Self-Employed,Married,Mumbai,Graduate,Own Vehicle,Monsoon,Family Visit,Online,No,No,Yes,Yes,Low,Low,Aware,0
64,Male,29,<3 LPA,Salaried,Single,Mumbai,Post-Graduate,Own Vehicle,Monsoon,Leisure,Online,No,No,No,No,Medium,Medium,Aware,0
